g__Tyzzerella
g__Eggerthella
g__Papillibacter
g__Pseudobutyrivibrio
g__Terrisporobacter
g__norank_o__NB1-n
g__[Clostridium]_innocuum_group
g__Sphingomonas
g__Mitsuokella
g__Caproiciproducens
g__Coprococcus_3
g__Erysipelatoclostridium
g__Scardovia
g__Odoribacter
g__unclassified_o__Rhizobiales
g__Flavonifractor
g__Haemophilus
g__Veillonella
g__Subdoligranulum
g__Erysipelotrichaceae_UCG-003
g__Ruminococcaceae_NK4A214_group
g__norank_f__Bacteroidales_S24-7_group
g__norank_o__Mollicutes_RF9
g__[Eubacterium]_rectale_group
g__Ruminococcaceae_UCG-002
g__Phascolarctobacterium
g__Paraprevotella

