g__Phascolarctobacterium
g__Erysipelotrichaceae_UCG-003
g__Veillonella
g__Haemophilus
g__Erysipelatoclostridium
g__Ruminococcaceae_NK4A214_group
g__Coprococcus_3
g__[Eubacterium]_rectale_group
g__Eggerthella
g__Paraprevotella
g__Ruminococcaceae_UCG-002
g__Subdoligranulum
g__Odoribacter
g__Flavonifractor
g__Pseudobutyrivibrio
g__Tyzzerella
g__Terrisporobacter
g__[Clostridium]_innocuum_group
g__unclassified_o__Rhizobiales
g__Sphingomonas
g__norank_o__Mollicutes_RF9
g__norank_f__Bacteroidales_S24-7_group
g__Papillibacter
g__Scardovia
g__norank_o__NB1-n
g__Mitsuokella
g__Caproiciproducens
